                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1199,                  5.604,                 1.6207,                0.00057,                0.23512,                 0.0452,                0.03023,                 1.7524,                 5.1764,                 1.4025,             0.00018337,             0.00018337,             0.00018337
                      2,                 1.7745,                 4.3785,                 1.2775,                0.00126,                 0.4273,                0.09151,                0.05366,                 1.6018,                 4.6623,                 1.1698,             0.00037582,             0.00037582,             0.00037582
                      3,                 1.7462,                  3.874,                 1.1959,                0.00108,                0.29507,                0.00459,                0.00277,                 1.7572,                 4.6417,                 1.2592,             0.00056035,             0.00056035,             0.00056035
                      4,                  1.641,                 3.5306,                  1.196,                0.00148,                0.39094,                0.00174,                0.00093,                 1.6342,                 4.3629,                 1.2353,             0.00073695,             0.00073695,             0.00073695
                      5,                 1.7862,                 3.4821,                 1.2524,                0.38964,                0.06693,                0.07289,                0.03919,                 1.6332,                 4.0817,                 1.2343,             0.00090563,             0.00090563,             0.00090563
                      6,                 1.6756,                 3.2165,                 1.2248,                0.95107,                 0.0068,                0.21332,                 0.1002,                 1.5436,                  3.926,                 1.1742,              0.0010664,              0.0010664,              0.0010664
                      7,                 1.5094,                 2.8352,                 1.1756,                 0.7104,                0.05114,                0.23153,                0.12738,                 1.6032,                 3.9165,                 1.2155,              0.0012192,              0.0012192,              0.0012192
                      8,                 1.5891,                  2.931,                 1.1894,                0.68396,                0.15368,                0.32266,                 0.1817,                 1.6566,                 3.5878,                  1.245,              0.0013642,              0.0013642,              0.0013642
                      9,                 1.6407,                 2.7147,                 1.2233,                0.55823,                0.41433,                0.41602,                0.19796,                 1.7515,                 3.0492,                 1.2439,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.6019,                 2.5325,                 1.2488,                0.56584,                0.36564,                0.39349,                0.22414,                 1.6216,                 2.9447,                 1.2762,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.6124,                 2.4131,                 1.2097,                0.57038,                0.45366,                0.47989,                0.26252,                 1.5223,                 2.5222,                 1.1894,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.5622,                 2.2888,                 1.2048,                0.69417,                0.48554,                0.62038,                 0.3347,                 1.4862,                 2.6872,                 1.1666,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.4472,                 2.1058,                 1.1411,                0.60196,                0.59898,                0.63462,                0.37427,                 1.3999,                 2.5804,                 1.1427,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.5228,                 2.0823,                 1.1835,                0.61482,                0.75252,                0.70497,                0.43585,                 1.3257,                 2.2382,                 1.0987,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.4293,                 1.9323,                 1.0784,                0.57156,                 0.6048,                0.55947,                0.34097,                 1.2636,                 2.6306,                 1.0671,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.4391,                 2.0192,                 1.1413,                0.71104,                0.61373,                 0.6918,                0.42938,                 1.2696,                  1.964,                 1.0972,              0.0012049,              0.0012049,              0.0012049
                     17,                 1.3479,                 1.8553,                 1.1395,                0.72809,                0.62434,                0.71569,                0.44277,                 1.2767,                  1.756,                 1.0766,              0.0011719,              0.0011719,              0.0011719
                     18,                  1.328,                 1.7001,                 1.0673,                0.74656,                0.67309,                0.76567,                 0.4609,                 1.3294,                 1.6789,                 1.0787,              0.0011389,              0.0011389,              0.0011389
                     19,                 1.4911,                 1.7766,                 1.1663,                0.76287,                0.67481,                0.75887,                0.48487,                 1.3382,                 1.9255,                 1.0973,              0.0011059,              0.0011059,              0.0011059
                     20,                 1.4657,                 1.7119,                 1.1258,                0.84507,                0.62479,                0.77269,                0.50719,                 1.2463,                 1.6344,                 1.0766,              0.0010729,              0.0010729,              0.0010729
                     21,                 1.4257,                 1.6731,                 1.1112,                0.70417,                0.62781,                0.70845,                0.45013,                   1.27,                 1.8117,                 1.0583,              0.0010399,              0.0010399,              0.0010399
                     22,                 1.3295,                 1.5692,                 1.0818,                0.85707,                0.73704,                0.88612,                0.56053,                 1.2366,                 1.5564,                 1.0342,              0.0010069,              0.0010069,              0.0010069
                     23,                 1.3137,                 1.5773,                 1.1024,                0.86823,                0.75523,                0.85641,                0.57107,                 1.2208,                 1.5378,                 1.0345,             0.00097386,             0.00097386,             0.00097386
                     24,                 1.2186,                 1.4676,                 1.0626,                0.83152,                0.71481,                0.83032,                0.53346,                 1.1958,                 1.3349,                 1.0227,             0.00094085,             0.00094085,             0.00094085
                     25,                 1.3364,                 1.4877,                 1.0929,                0.88509,                0.83017,                0.91868,                0.61201,                 1.1426,                 1.1822,                 1.0117,             0.00090785,             0.00090785,             0.00090785
                     26,                 1.2384,                 1.4287,                 1.0541,                 0.8061,                0.84035,                0.89908,                0.58472,                 1.1936,                 1.1511,                 1.0072,             0.00087484,             0.00087484,             0.00087484
                     27,                 1.2555,                 1.4045,                 1.0485,                0.87612,                0.83185,                0.91662,                0.59811,                  1.161,                 1.0967,                0.99133,             0.00084184,             0.00084184,             0.00084184
                     28,                 1.1894,                 1.3225,                 1.0379,                0.92049,                0.88743,                0.95573,                0.65885,                 1.0728,                0.97968,                0.98521,             0.00080883,             0.00080883,             0.00080883
                     29,                 1.2094,                 1.2413,                 1.0375,                0.92816,                0.88308,                0.94807,                0.66033,                 1.0798,                0.96935,                0.99401,             0.00077582,             0.00077582,             0.00077582
                     30,                 1.2167,                 1.2605,                 1.0448,                0.88239,                0.89649,                 0.9446,                0.63903,                 1.1065,                0.97327,                0.98837,             0.00074282,             0.00074282,             0.00074282
                     31,                 1.1392,                  1.223,                 1.0082,                0.94721,                0.85662,                 0.9502,                0.67045,                 1.0685,                0.92068,                0.98479,             0.00070981,             0.00070981,             0.00070981
                     32,                 1.2051,                 1.2377,                 1.0329,                0.93112,                0.91332,                0.96039,                0.68441,                 1.0519,                0.90282,                0.97166,              0.0006768,              0.0006768,              0.0006768
                     33,                  1.132,                 1.1511,                 1.0169,                0.87732,                0.83122,                0.91585,                0.67039,                0.99116,                 0.9653,                0.97249,              0.0006438,              0.0006438,              0.0006438
                     34,                 1.1473,                 1.1637,                 1.0178,                  0.884,                0.92474,                0.94152,                0.65716,                 1.0614,                0.90899,                0.98327,             0.00061079,             0.00061079,             0.00061079
                     35,                 1.1434,                 1.0931,                 1.0184,                0.95059,                0.92059,                0.96541,                0.70671,                0.99384,                0.85037,                0.96323,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.1226,                 1.0824,                0.97567,                0.92752,                0.93594,                 0.9653,                0.71446,                0.97458,                0.83743,                0.94975,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.0986,                 1.1132,                0.96174,                0.91074,                0.93814,                0.96892,                0.71071,                0.97742,                0.82923,                0.94799,             0.00051177,             0.00051177,             0.00051177
                     38,                 1.0897,                 1.0655,                0.99108,                  0.973,                 0.9078,                0.97368,                0.71567,                0.93909,                0.78919,                0.94567,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.0352,                 1.0115,                0.97357,                0.94979,                0.92453,                0.97749,                0.69718,                0.96616,                0.81417,                0.95163,             0.00044576,             0.00044576,             0.00044576
                     40,                 1.0452,                 1.0139,                 0.9498,                0.92539,                0.94494,                0.97009,                0.71423,                0.92472,                0.77996,                0.93745,             0.00041275,             0.00041275,             0.00041275
                     41,                  1.046,                 1.0734,                0.95025,                0.90655,                0.93989,                0.96109,                0.71569,                0.91536,                0.79186,                0.93205,             0.00037974,             0.00037974,             0.00037974
                     42,                 1.0868,                 1.0659,                0.98157,                0.96584,                  0.918,                0.96155,                0.73279,                0.92212,                0.78983,                0.93168,             0.00034674,             0.00034674,             0.00034674
                     43,                 1.0111,                 1.0233,                0.97043,                0.95007,                0.91433,                0.96964,                0.75751,                0.88308,                0.78275,                0.92599,             0.00031373,             0.00031373,             0.00031373
