                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4085,                 2.5975,                0.97731,                0.37783,                0.40787,                0.31524,                0.19987,                 1.2213,                 1.5082,                0.95696,              0.0001941,              0.0001941,              0.0001941
                      2,                 1.3138,                 1.3713,                 0.9606,                0.44868,                0.47274,                0.45638,                0.29413,                 1.1937,                 1.2151,                0.95047,             0.00038624,             0.00038624,             0.00038624
                      3,                 1.3264,                 1.2411,                0.96771,                 0.6027,                  0.511,                0.52565,                0.33355,                 1.2242,                 1.1711,                0.94892,             0.00057449,             0.00057449,             0.00057449
                      4,                 1.2871,                 1.1347,                0.94902,                0.68393,                0.55001,                0.59482,                0.37898,                 1.2147,                 1.0398,                0.93871,             0.00057054,             0.00057054,             0.00057054
                      5,                 1.2651,                 1.0838,                0.94044,                0.70659,                0.55507,                0.61448,                0.39164,                 1.1935,                 1.0162,                 0.9225,             0.00057054,             0.00057054,             0.00057054
                      6,                 1.2518,                 1.0425,                0.93022,                0.70384,                0.55756,                0.62736,                0.40902,                 1.1658,                 1.0004,                 0.9192,             0.00056472,             0.00056472,             0.00056472
                      7,                 1.2385,                 1.0059,                0.93014,                0.70522,                0.57952,                0.65347,                0.42418,                 1.1575,                0.94168,                0.91871,             0.00055889,             0.00055889,             0.00055889
                      8,                 1.2206,                0.98189,                0.92242,                 0.7311,                0.58409,                0.66899,                0.43603,                 1.1371,                0.92847,                0.91134,             0.00055307,             0.00055307,             0.00055307
                      9,                 1.2313,                0.97324,                0.92972,                0.76753,                0.59273,                0.69684,                0.45014,                 1.1526,                0.88014,                0.91463,             0.00054725,             0.00054725,             0.00054725
                     10,                  1.221,                0.93407,                0.91952,                0.71616,                0.61322,                 0.6854,                0.44861,                 1.1323,                0.89928,                0.90984,             0.00054143,             0.00054143,             0.00054143
                     11,                 1.2119,                0.93387,                0.93069,                0.73392,                0.62332,                 0.7015,                0.46156,                 1.1203,                0.87217,                 0.9123,             0.00053561,             0.00053561,             0.00053561
                     12,                 1.2004,                0.91669,                0.91622,                0.73646,                0.64621,                0.71451,                0.47038,                 1.0905,                0.82294,                0.89801,             0.00052979,             0.00052979,             0.00052979
                     13,                 1.1865,                0.88338,                0.91392,                0.74849,                0.65776,                0.72053,                0.47435,                 1.1113,                0.81286,                0.90365,             0.00052397,             0.00052397,             0.00052397
                     14,                 1.1984,                0.88793,                0.91588,                0.76583,                0.65941,                0.73067,                0.47822,                 1.1135,                0.81617,                0.89978,             0.00051815,             0.00051815,             0.00051815
                     15,                 1.1663,                0.85245,                0.91221,                0.77868,                0.65617,                0.73818,                0.48348,                 1.1173,                0.80267,                0.90256,             0.00051232,             0.00051232,             0.00051232
                     16,                 1.1806,                0.85705,                0.91162,                 0.7788,                0.64496,                0.73561,                0.47751,                 1.1033,                0.79803,                0.90359,              0.0005065,              0.0005065,              0.0005065
                     17,                 1.1902,                0.85863,                0.91632,                0.75774,                0.66878,                 0.7359,                  0.491,                 1.0747,                  0.779,                0.89683,             0.00050068,             0.00050068,             0.00050068
                     18,                 1.1789,                0.84412,                 0.9154,                0.77031,                0.67874,                 0.7483,                0.49136,                 1.1093,                0.76698,                0.90443,             0.00049486,             0.00049486,             0.00049486
                     19,                 1.1621,                0.82419,                0.91299,                0.78869,                0.66267,                0.75219,                 0.4998,                 1.0794,                 0.7752,                0.89814,             0.00048904,             0.00048904,             0.00048904
                     20,                 1.1503,                0.81555,                0.89921,                0.78963,                0.67467,                0.75708,                0.50675,                 1.0697,                0.75915,                0.89528,             0.00048322,             0.00048322,             0.00048322
                     21,                 1.1385,                0.80145,                0.90398,                 0.8135,                0.68164,                 0.7645,                0.51614,                 1.0433,                0.73804,                0.89075,              0.0004774,              0.0004774,              0.0004774
                     22,                 1.1359,                0.80486,                0.90504,                0.78857,                0.70008,                 0.7682,                0.50948,                 1.0786,                0.74262,                 0.8967,             0.00047158,             0.00047158,             0.00047158
                     23,                 1.1341,                0.79315,                0.90174,                0.77786,                0.68564,                0.76204,                0.50918,                 1.0687,                0.73946,                0.89427,             0.00046575,             0.00046575,             0.00046575
                     24,                 1.1276,                0.78785,                0.90211,                0.81761,                 0.6876,                0.77241,                0.51643,                 1.0721,                0.72833,                0.89435,             0.00045993,             0.00045993,             0.00045993
                     25,                 1.1343,                0.77995,                0.89999,                0.81968,                0.68931,                 0.7739,                0.52645,                  1.033,                0.71436,                0.88972,             0.00045411,             0.00045411,             0.00045411
                     26,                    1.1,                0.75292,                0.89619,                0.80899,                0.71059,                0.78287,                0.51966,                 1.0702,                0.71495,                0.89446,             0.00044829,             0.00044829,             0.00044829
                     27,                 1.1113,                0.75318,                 0.8998,                0.83019,                0.69296,                0.77998,                0.52936,                 1.0361,                0.69985,                0.88762,             0.00044247,             0.00044247,             0.00044247
                     28,                 1.1046,                0.75574,                0.89563,                0.81185,                0.70185,                0.78128,                0.52625,                  1.044,                 0.7057,                0.88979,             0.00043665,             0.00043665,             0.00043665
                     29,                 1.1064,                0.74074,                0.89211,                0.82284,                0.69387,                0.79068,                0.53863,                 1.0204,                0.69328,                0.88429,             0.00043083,             0.00043083,             0.00043083
                     30,                 1.0966,                0.73546,                0.89203,                0.83874,                 0.7047,                0.79693,                 0.5364,                 1.0433,                0.68737,                0.88915,             0.00042501,             0.00042501,             0.00042501
