                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5209,                 3.1267,                 1.3193,                0.02035,                0.12324,                0.01165,                0.00766,                 1.3801,                 6.0915,                 1.2321,             0.00065789,             0.00065789,             0.00065789
                      2,                 1.2945,                 1.7984,                 1.1619,                0.80907,                0.65652,                0.68573,                0.45514,                  1.364,                 2.1464,                 1.2166,              0.0013213,              0.0013213,              0.0013213
                      3,                 1.3349,                 1.4853,                 1.1728,                 0.8148,                0.67606,                0.74052,                0.47341,                 1.3462,                 1.5638,                 1.1915,              0.0019814,              0.0019814,              0.0019814
                      4,                  1.279,                 1.2322,                 1.1519,                0.78172,                 0.6431,                0.68955,                0.46367,                 1.3611,                 1.6389,                 1.2491,              0.0019852,              0.0019852,              0.0019852
                      5,                 1.2436,                 1.0716,                 1.1522,                0.88848,                0.76408,                0.83641,                0.55807,                 1.2925,                 1.2253,                 1.1903,              0.0019852,              0.0019852,              0.0019852
                      6,                 1.2147,                0.98559,                 1.1212,                0.89834,                0.78521,                0.85011,                0.60288,                 1.2035,                 1.0947,                  1.094,              0.0019802,              0.0019802,              0.0019802
                      7,                  1.182,                0.91619,                 1.1065,                0.91499,                0.79587,                0.86249,                0.64457,                  1.118,                 1.0156,                 1.1158,              0.0019753,              0.0019753,              0.0019753
                      8,                 1.1845,                0.89802,                 1.1047,                0.94667,                0.78169,                0.87357,                0.62519,                 1.2285,                0.96618,                 1.1335,              0.0019703,              0.0019703,              0.0019703
                      9,                 1.1821,                0.89586,                 1.1237,                0.90272,                0.78418,                0.85136,                0.64249,                 1.1794,                0.87685,                 1.1166,              0.0019654,              0.0019654,              0.0019654
                     10,                 1.1002,                0.82809,                 1.0584,                0.94644,                 0.8088,                0.88054,                0.64272,                 1.1233,                0.90099,                 1.1022,              0.0019604,              0.0019604,              0.0019604
                     11,                 1.1371,                0.82443,                 1.0946,                0.91032,                 0.7993,                0.85714,                0.62187,                 1.1552,                0.98589,                 1.1395,              0.0019555,              0.0019555,              0.0019555
                     12,                 1.0938,                0.77703,                 1.0731,                0.94528,                0.77817,                0.88408,                0.66566,                 1.1303,                0.79007,                 1.1434,              0.0019505,              0.0019505,              0.0019505
                     13,                 1.0943,                 0.7754,                 1.0642,                 0.9452,                0.78521,                0.85405,                0.64012,                 1.1756,                0.95053,                  1.134,              0.0019456,              0.0019456,              0.0019456
                     14,                 1.1147,                0.75742,                 1.0811,                0.94708,                0.81928,                0.89794,                 0.6614,                 1.1182,                0.84986,                 1.0771,              0.0019406,              0.0019406,              0.0019406
                     15,                 1.0668,                0.73236,                 1.0597,                0.95748,                0.79294,                0.88414,                 0.6891,                 1.0353,                0.83993,                 1.0832,              0.0019357,              0.0019357,              0.0019357
                     16,                   1.04,                0.69153,                 1.0436,                0.89764,                0.80634,                0.89298,                0.68491,                  1.054,                0.80086,                  1.082,              0.0019307,              0.0019307,              0.0019307
                     17,                 1.0593,                0.70536,                 1.0596,                0.93246,                0.82643,                 0.9003,                0.66611,                 1.0504,                0.78285,                  1.067,              0.0019258,              0.0019258,              0.0019258
                     18,                 1.0393,                0.70191,                 1.0577,                0.93876,                0.80282,                0.87638,                0.67642,                 1.0394,                0.81252,                 1.0758,              0.0019208,              0.0019208,              0.0019208
                     19,                 1.0646,                0.72362,                 1.0559,                0.91155,                 0.8346,                0.91665,                0.68711,                 1.0654,                0.76414,                 1.0818,              0.0019159,              0.0019159,              0.0019159
                     20,                 1.0247,                 0.6984,                 1.0426,                0.94424,                 0.8169,                0.90037,                0.67975,                 1.0492,                0.79446,                 1.0724,              0.0019109,              0.0019109,              0.0019109
                     21,                 1.0211,                0.68046,                 1.0384,                0.94831,                0.77511,                0.87514,                0.67393,                 1.0486,                0.83044,                 1.0682,               0.001906,               0.001906,               0.001906
                     22,                 1.0113,                0.66604,                 1.0192,                0.96572,                0.79362,                 0.8961,                0.67541,                  1.092,                0.78826,                 1.0879,               0.001901,               0.001901,               0.001901
                     23,                0.98962,                0.65483,                 1.0301,                0.93709,                0.80634,                 0.8747,                0.68739,                 1.0105,                0.80065,                 1.0774,              0.0018961,              0.0018961,              0.0018961
                     24,                 1.0129,                0.65339,                 1.0386,                0.94495,                0.81338,                0.91696,                0.68235,                 1.0387,                0.70879,                  1.074,              0.0018911,              0.0018911,              0.0018911
                     25,                0.99069,                0.64467,                 1.0255,                0.93834,                0.84155,                0.92188,                0.70174,                 1.0521,                0.72487,                 1.0587,              0.0018862,              0.0018862,              0.0018862
                     26,                 0.9983,                0.61803,                 1.0302,                0.93438,                0.80282,                0.89538,                0.69228,                 1.0705,                 0.7169,                  1.112,              0.0018812,              0.0018812,              0.0018812
                     27,                0.97437,                 0.6353,                 1.0248,                0.93607,                0.82497,                 0.8992,                0.69673,                 1.0474,                0.74776,                 1.0497,              0.0018763,              0.0018763,              0.0018763
                     28,                0.99168,                0.62216,                 1.0308,                0.94991,                0.80986,                0.90714,                0.70464,                 1.0413,                0.73981,                 1.0535,              0.0018713,              0.0018713,              0.0018713
                     29,                0.98126,                 0.6295,                 1.0266,                0.92633,                0.84121,                0.90876,                0.70333,                0.99096,                0.70024,                 1.0382,              0.0018663,              0.0018663,              0.0018663
                     30,                0.98333,                0.60406,                 1.0116,                0.93721,                0.82394,                 0.9141,                0.70137,                 1.0191,                0.68623,                 1.0712,              0.0018614,              0.0018614,              0.0018614
                     31,                0.97334,                0.58956,                 1.0141,                0.91456,                0.83451,                0.88462,                0.68073,                 1.0614,                0.73459,                 1.1064,              0.0018564,              0.0018564,              0.0018564
